date,uncinetto,isPartial
2018-01-07,71,False
2018-01-14,68,False
2018-01-21,78,False
2018-01-28,68,False
2018-02-04,75,False
2018-02-11,79,False
2018-02-18,100,False
2018-02-25,73,False
2018-03-04,82,False
2018-03-11,68,False
2018-03-18,79,False
2018-03-25,55,False
2018-04-01,66,False
2018-04-08,77,False
2018-04-15,69,False
2018-04-22,59,False
2018-04-29,55,False
2018-05-06,64,False
2018-05-13,64,False
2018-05-20,54,False
2018-05-27,47,False
2018-06-03,63,False
2018-06-10,59,False
2018-06-17,60,False
2018-06-24,59,False
2018-07-01,54,False
2018-07-08,58,False
2018-07-15,60,False
2018-07-22,49,False
2018-07-29,61,False
2018-08-05,41,False
2018-08-12,31,False
2018-08-19,63,False
2018-08-26,73,False
2018-09-02,63,False
2018-09-09,61,False
2018-09-16,61,False
2018-09-23,74,False
2018-09-30,65,False
2018-10-07,69,False
2018-10-14,75,False
2018-10-21,81,False
2018-10-28,70,False
2018-11-04,78,False
2018-11-11,69,False
2018-11-18,79,False
2018-11-25,81,False
2018-12-02,58,False
2018-12-09,69,False
2018-12-16,57,False
2018-12-23,39,False
2018-12-30,61,False
2019-01-06,72,False
2019-01-13,73,False
2019-01-20,84,False
2019-01-27,68,False
2019-02-03,75,False
2019-02-10,79,False
2019-02-17,69,False
2019-02-24,56,False
2019-03-03,57,False
2019-03-10,65,False
2019-03-17,54,False
2019-03-24,68,False
2019-03-31,72,False
2019-04-07,59,False
2019-04-14,36,False
2019-04-21,48,False
2019-04-28,30,False
2019-05-05,57,False
2019-05-12,58,False
2019-05-19,68,False
2019-05-26,45,False
2019-06-02,48,False
2019-06-09,32,False
2019-06-16,45,False
2019-06-23,39,False
2019-06-30,46,False
2019-07-07,41,False
2019-07-14,36,False
2019-07-21,35,False
2019-07-28,51,False
2019-08-04,46,False
2019-08-11,40,False
2019-08-18,33,False
2019-08-25,40,False
2019-09-01,36,False
2019-09-08,49,False
2019-09-15,38,False
2019-09-22,51,False
2019-09-29,54,False
2019-10-06,45,False
2019-10-13,48,False
2019-10-20,70,False
2019-10-27,63,False
2019-11-03,67,False
2019-11-10,84,False
2019-11-17,77,False
2019-11-24,70,False
2019-12-01,63,False
2019-12-08,63,False
2019-12-15,55,False
2019-12-22,48,False
2019-12-29,56,False
2020-01-05,53,False
2020-01-12,54,False
2020-01-19,53,False
2020-01-26,61,False
2020-02-02,48,False
2020-02-09,60,False
2020-02-16,65,False
2020-02-23,50,False
2020-03-01,57,False
2020-03-08,48,False
2020-03-15,64,False
2020-03-22,69,False
2020-03-29,68,False
2020-04-05,54,False
2020-04-12,76,False
2020-04-19,76,False
2020-04-26,59,True
