date,Psychologue
2018-01-07,0.66
2018-01-14,0.545
2018-01-21,0.615
2018-01-28,0.545
2018-02-04,0.585
2018-02-11,0.62
2018-02-18,0.585
2018-02-25,0.555
2018-03-04,0.57
2018-03-11,0.665
2018-03-18,0.585
2018-03-25,0.575
2018-04-01,0.575
2018-04-08,0.49
2018-04-15,0.435
2018-04-22,0.63
2018-04-29,0.585
2018-05-06,0.405
2018-05-13,0.455
2018-05-20,0.675
2018-05-27,0.565
2018-06-03,0.72
2018-06-10,0.585
2018-06-17,0.63
2018-06-24,0.4
2018-07-01,0.44
2018-07-08,0.49
2018-07-15,0.425
2018-07-22,0.565
2018-07-29,0.42
2018-08-05,0.52
2018-08-12,0.425
2018-08-19,0.5
2018-08-26,0.56
2018-09-02,0.775
2018-09-09,0.68
2018-09-16,0.7
2018-09-23,0.645
2018-09-30,0.63
2018-10-07,0.76
2018-10-14,0.76
2018-10-21,0.615
2018-10-28,0.41
2018-11-04,0.68
2018-11-11,0.59
2018-11-18,0.715
2018-11-25,0.525
2018-12-02,0.515
2018-12-09,0.66
2018-12-16,0.64
2018-12-23,0.335
2018-12-30,0.395
2019-01-06,0.68
2019-01-13,0.68
2019-01-20,0.69
2019-01-27,0.84
2019-02-03,0.82
2019-02-10,0.625
2019-02-17,0.64
2019-02-24,0.57
2019-03-03,0.665
2019-03-10,0.74
2019-03-17,0.63
2019-03-24,0.625
2019-03-31,0.79
2019-04-07,0.59
2019-04-14,0.59
2019-04-21,0.62
2019-04-28,0.51
2019-05-05,0.55
2019-05-12,0.635
2019-05-19,0.735
2019-05-26,0.64
2019-06-02,0.68
2019-06-09,0.7
2019-06-16,0.655
2019-06-23,0.57
2019-06-30,0.635
2019-07-07,0.59
2019-07-14,0.615
2019-07-21,0.555
2019-07-28,0.365
2019-08-04,0.55
2019-08-11,0.44
2019-08-18,0.52
2019-08-25,0.71
2019-09-01,0.695
2019-09-08,0.73
2019-09-15,0.755
2019-09-22,0.785
2019-09-29,0.685
2019-10-06,0.65
2019-10-13,0.855
2019-10-20,0.625
2019-10-27,0.63
2019-11-03,0.735
2019-11-10,0.87
2019-11-17,0.785
2019-11-24,0.61
2019-12-01,0.685
2019-12-08,0.625
2019-12-15,0.64
2019-12-22,0.37
2019-12-29,0.53
2020-01-05,0.73
2020-01-12,0.72
2020-01-19,1.0
2020-01-26,0.86
2020-02-02,0.785
2020-02-09,0.91
2020-02-16,0.93
2020-02-23,0.53
2020-03-01,0.655
2020-03-08,0.67
2020-03-15,0.295
2020-03-22,0.34
2020-03-29,0.39
2020-04-05,0.35
2020-04-12,0.375
2020-04-19,0.47
2020-04-26,0.4
2020-05-03,0.435
2020-05-10,0.45
2020-05-17,0.615
