date,Psychologue,isPartial
2018-01-07,71,False
2018-01-14,68,False
2018-01-21,59,False
2018-01-28,57,False
2018-02-04,31,False
2018-02-11,63,False
2018-02-18,39,False
2018-02-25,71,False
2018-03-04,82,False
2018-03-11,57,False
2018-03-18,58,False
2018-03-25,71,False
2018-04-01,40,False
2018-04-08,47,False
2018-04-15,43,False
2018-04-22,35,False
2018-04-29,57,False
2018-05-06,26,False
2018-05-13,51,False
2018-05-20,71,False
2018-05-27,61,False
2018-06-03,35,False
2018-06-10,59,False
2018-06-17,43,False
2018-06-24,29,False
2018-07-01,85,False
2018-07-08,59,False
2018-07-15,31,False
2018-07-22,27,False
2018-07-29,24,False
2018-08-05,38,False
2018-08-12,54,False
2018-08-19,45,False
2018-08-26,44,False
2018-09-02,62,False
2018-09-09,85,False
2018-09-16,57,False
2018-09-23,77,False
2018-09-30,53,False
2018-10-07,67,False
2018-10-14,38,False
2018-10-21,41,False
2018-10-28,48,False
2018-11-04,48,False
2018-11-11,33,False
2018-11-18,54,False
2018-11-25,38,False
2018-12-02,45,False
2018-12-09,29,False
2018-12-16,56,False
2018-12-23,38,False
2018-12-30,54,False
2019-01-06,57,False
2019-01-13,51,False
2019-01-20,71,False
2019-01-27,55,False
2019-02-03,56,False
2019-02-10,67,False
2019-02-17,51,False
2019-02-24,75,False
2019-03-03,74,False
2019-03-10,57,False
2019-03-17,49,False
2019-03-24,40,False
2019-03-31,55,False
2019-04-07,87,False
2019-04-14,33,False
2019-04-21,48,False
2019-04-28,53,False
2019-05-05,59,False
2019-05-12,39,False
2019-05-19,63,False
2019-05-26,35,False
2019-06-02,69,False
2019-06-09,69,False
2019-06-16,64,False
2019-06-23,66,False
2019-06-30,53,False
2019-07-07,50,False
2019-07-14,55,False
2019-07-21,36,False
2019-07-28,30,False
2019-08-04,40,False
2019-08-11,36,False
2019-08-18,56,False
2019-08-25,72,False
2019-09-01,64,False
2019-09-08,72,False
2019-09-15,58,False
2019-09-22,100,False
2019-09-29,44,False
2019-10-06,68,False
2019-10-13,50,False
2019-10-20,71,False
2019-10-27,39,False
2019-11-03,71,False
2019-11-10,71,False
2019-11-17,64,False
2019-11-24,48,False
2019-12-01,52,False
2019-12-08,60,False
2019-12-15,81,False
2019-12-22,53,False
2019-12-29,50,False
2020-01-05,48,False
2020-01-12,87,False
2020-01-19,73,False
2020-01-26,84,False
2020-02-02,44,False
2020-02-09,63,False
2020-02-16,73,False
2020-02-23,76,False
2020-03-01,57,False
2020-03-08,59,False
2020-03-15,43,False
2020-03-22,32,False
2020-03-29,18,False
2020-04-05,30,False
2020-04-12,32,False
2020-04-19,40,False
2020-04-26,40,False
2020-05-03,31,False
2020-05-10,66,False
2020-05-17,47,True
