date,Psychologue,isPartial
2018-01-07,54,False
2018-01-14,65,False
2018-01-21,77,False
2018-01-28,54,False
2018-02-04,69,False
2018-02-11,69,False
2018-02-18,71,False
2018-02-25,51,False
2018-03-04,50,False
2018-03-11,77,False
2018-03-18,82,False
2018-03-25,49,False
2018-04-01,65,False
2018-04-08,80,False
2018-04-15,60,False
2018-04-22,62,False
2018-04-29,53,False
2018-05-06,50,False
2018-05-13,59,False
2018-05-20,64,False
2018-05-27,58,False
2018-06-03,69,False
2018-06-10,56,False
2018-06-17,59,False
2018-06-24,50,False
2018-07-01,56,False
2018-07-08,48,False
2018-07-15,52,False
2018-07-22,49,False
2018-07-29,42,False
2018-08-05,47,False
2018-08-12,41,False
2018-08-19,49,False
2018-08-26,62,False
2018-09-02,54,False
2018-09-09,74,False
2018-09-16,81,False
2018-09-23,84,False
2018-09-30,71,False
2018-10-07,55,False
2018-10-14,75,False
2018-10-21,95,False
2018-10-28,58,False
2018-11-04,73,False
2018-11-11,68,False
2018-11-18,74,False
2018-11-25,65,False
2018-12-02,83,False
2018-12-09,62,False
2018-12-16,54,False
2018-12-23,44,False
2018-12-30,60,False
2019-01-06,67,False
2019-01-13,89,False
2019-01-20,96,False
2019-01-27,75,False
2019-02-03,76,False
2019-02-10,62,False
2019-02-17,51,False
2019-02-24,62,False
2019-03-03,80,False
2019-03-10,69,False
2019-03-17,88,False
2019-03-24,84,False
2019-03-31,82,False
2019-04-07,72,False
2019-04-14,62,False
2019-04-21,41,False
2019-04-28,61,False
2019-05-05,68,False
2019-05-12,65,False
2019-05-19,74,False
2019-05-26,39,False
2019-06-02,60,False
2019-06-09,55,False
2019-06-16,64,False
2019-06-23,62,False
2019-06-30,67,False
2019-07-07,44,False
2019-07-14,64,False
2019-07-21,44,False
2019-07-28,48,False
2019-08-04,56,False
2019-08-11,63,False
2019-08-18,65,False
2019-08-25,71,False
2019-09-01,73,False
2019-09-08,100,False
2019-09-15,81,False
2019-09-22,83,False
2019-09-29,77,False
2019-10-06,76,False
2019-10-13,91,False
2019-10-20,78,False
2019-10-27,74,False
2019-11-03,98,False
2019-11-10,67,False
2019-11-17,70,False
2019-11-24,87,False
2019-12-01,54,False
2019-12-08,63,False
2019-12-15,72,False
2019-12-22,43,False
2019-12-29,68,False
2020-01-05,75,False
2020-01-12,94,False
2020-01-19,84,False
2020-01-26,96,False
2020-02-02,77,False
2020-02-09,77,False
2020-02-16,73,False
2020-02-23,53,False
2020-03-01,90,False
2020-03-08,86,False
2020-03-15,36,False
2020-03-22,33,False
2020-03-29,44,False
2020-04-05,25,False
2020-04-12,34,False
2020-04-19,41,False
2020-04-26,51,False
2020-05-03,39,False
2020-05-10,57,False
2020-05-17,88,True
