geoName,geoCode,Hortensien schneiden
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,55
Salzburg,AT-5,86
Styria,AT-6,31
Tyrol,AT-7,57
Upper Austria,AT-4,51
Vienna,AT-9,24
Vorarlberg,AT-8,0
