geoName,geoCode,Klimaanlage für Zuhause
Baden-Württemberg,DE-BW,23
Bavaria,DE-BY,27
Berlin,DE-BE,28
Brandenburg,DE-BB,34
Bremen,DE-HB,98
Hamburg,DE-HH,46
Hesse,DE-HE,44
Lower Saxony,DE-NI,13
Mecklenburg-Vorpommern,DE-MV,56
North Rhine-Westphalia,DE-NW,45
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,100
Saxony,DE-SN,46
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,25
Thuringia,DE-TH,83
