geoName,geoCode,Cabaret
Abruzzo,IT-65,8
Aosta,IT-23,0
Apulia,IT-75,14
Basilicata,IT-77,0
Calabria,IT-78,11
Campania,IT-72,12
Emilia-Romagna,IT-45,11
Friuli-Venezia Giulia,IT-36,14
Lazio,IT-62,20
Liguria,IT-42,24
Lombardy,IT-25,16
Marche,IT-57,5
Molise,IT-67,0
Piedmont,IT-21,16
Sardinia,IT-88,8
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,9
Tuscany,IT-52,11
Umbria,IT-55,6
Veneto,IT-34,15
