date,Cabaret,isPartial
2018-01-07,33,False
2018-01-14,30,False
2018-01-21,39,False
2018-01-28,35,False
2018-02-04,43,False
2018-02-11,36,False
2018-02-18,31,False
2018-02-25,32,False
2018-03-04,42,False
2018-03-11,30,False
2018-03-18,32,False
2018-03-25,37,False
2018-04-01,24,False
2018-04-08,42,False
2018-04-15,32,False
2018-04-22,42,False
2018-04-29,29,False
2018-05-06,39,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,30,False
2018-06-10,39,False
2018-06-17,25,False
2018-06-24,45,False
2018-07-01,35,False
2018-07-08,42,False
2018-07-15,51,False
2018-07-22,51,False
2018-07-29,30,False
2018-08-05,39,False
2018-08-12,36,False
2018-08-19,42,False
2018-08-26,38,False
2018-09-02,24,False
2018-09-09,30,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,20,False
2018-10-07,24,False
2018-10-14,22,False
2018-10-21,36,False
2018-10-28,24,False
2018-11-04,28,False
2018-11-11,22,False
2018-11-18,26,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,33,False
2018-12-16,40,False
2018-12-23,35,False
2018-12-30,36,False
2019-01-06,25,False
2019-01-13,39,False
2019-01-20,37,False
2019-01-27,26,False
2019-02-03,33,False
2019-02-10,30,False
2019-02-17,34,False
2019-02-24,38,False
2019-03-03,46,False
2019-03-10,44,False
2019-03-17,55,False
2019-03-24,53,False
2019-03-31,62,False
2019-04-07,64,False
2019-04-14,60,False
2019-04-21,100,False
2019-04-28,43,False
2019-05-05,45,False
2019-05-12,54,False
2019-05-19,52,False
2019-05-26,50,False
2019-06-02,41,False
2019-06-09,44,False
2019-06-16,43,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,42,False
2019-07-14,40,False
2019-07-21,52,False
2019-07-28,45,False
2019-08-04,48,False
2019-08-11,44,False
2019-08-18,41,False
2019-08-25,60,False
2019-09-01,45,False
2019-09-08,39,False
2019-09-15,38,False
2019-09-22,26,False
2019-09-29,23,False
2019-10-06,35,False
2019-10-13,25,False
2019-10-20,31,False
2019-10-27,24,False
2019-11-03,27,False
2019-11-10,41,False
2019-11-17,26,False
2019-11-24,37,False
2019-12-01,32,False
2019-12-08,34,False
2019-12-15,47,False
2019-12-22,42,False
2019-12-29,44,False
2020-01-05,36,False
2020-01-12,45,False
2020-01-19,34,False
2020-01-26,26,False
2020-02-02,39,False
2020-02-09,33,False
2020-02-16,35,False
2020-02-23,24,False
2020-03-01,40,False
2020-03-08,24,False
2020-03-15,31,False
2020-03-22,20,False
2020-03-29,23,False
2020-04-05,28,False
2020-04-12,23,False
2020-04-19,33,False
2020-04-26,24,True
