date,Cabaret,isPartial
2018-01-07,60,False
2018-01-14,32,False
2018-01-21,42,False
2018-01-28,37,False
2018-02-04,47,False
2018-02-11,32,False
2018-02-18,57,False
2018-02-25,41,False
2018-03-04,79,False
2018-03-11,50,False
2018-03-18,26,False
2018-03-25,53,False
2018-04-01,44,False
2018-04-08,40,False
2018-04-15,42,False
2018-04-22,43,False
2018-04-29,32,False
2018-05-06,31,False
2018-05-13,20,False
2018-05-20,25,False
2018-05-27,36,False
2018-06-03,36,False
2018-06-10,56,False
2018-06-17,37,False
2018-06-24,27,False
2018-07-01,10,False
2018-07-08,42,False
2018-07-15,38,False
2018-07-22,43,False
2018-07-29,34,False
2018-08-05,18,False
2018-08-12,35,False
2018-08-19,20,False
2018-08-26,39,False
2018-09-02,35,False
2018-09-09,40,False
2018-09-16,34,False
2018-09-23,15,False
2018-09-30,25,False
2018-10-07,65,False
2018-10-14,30,False
2018-10-21,64,False
2018-10-28,59,False
2018-11-04,38,False
2018-11-11,49,False
2018-11-18,72,False
2018-11-25,15,False
2018-12-02,100,False
2018-12-09,79,False
2018-12-16,91,False
2018-12-23,72,False
2018-12-30,64,False
2019-01-06,30,False
2019-01-13,57,False
2019-01-20,38,False
2019-01-27,38,False
2019-02-03,53,False
2019-02-10,57,False
2019-02-17,59,False
2019-02-24,45,False
2019-03-03,85,False
2019-03-10,70,False
2019-03-17,66,False
2019-03-24,57,False
2019-03-31,56,False
2019-04-07,60,False
2019-04-14,78,False
2019-04-21,74,False
2019-04-28,52,False
2019-05-05,35,False
2019-05-12,39,False
2019-05-19,48,False
2019-05-26,38,False
2019-06-02,51,False
2019-06-09,35,False
2019-06-16,35,False
2019-06-23,31,False
2019-06-30,37,False
2019-07-07,31,False
2019-07-14,58,False
2019-07-21,16,False
2019-07-28,22,False
2019-08-04,30,False
2019-08-11,34,False
2019-08-18,51,False
2019-08-25,45,False
2019-09-01,34,False
2019-09-08,44,False
2019-09-15,38,False
2019-09-22,42,False
2019-09-29,52,False
2019-10-06,57,False
2019-10-13,38,False
2019-10-20,59,False
2019-10-27,37,False
2019-11-03,27,False
2019-11-10,86,False
2019-11-17,40,False
2019-11-24,13,False
2019-12-01,69,False
2019-12-08,56,False
2019-12-15,66,False
2019-12-22,96,False
2019-12-29,55,False
2020-01-05,60,False
2020-01-12,52,False
2020-01-19,40,False
2020-01-26,43,False
2020-02-02,43,False
2020-02-09,22,False
2020-02-16,47,False
2020-02-23,25,False
2020-03-01,29,False
2020-03-08,49,False
2020-03-15,25,False
2020-03-22,55,False
2020-03-29,28,False
2020-04-05,33,False
2020-04-12,38,False
2020-04-19,36,False
2020-04-26,0,True
