geoName,geoCode,peinados boda
Andalusia,ES-AN,57
Aragon,ES-AR,31
Asturias,ES-AS,57
Balearic Islands,ES-IB,100
Basque Country,ES-PV,33
Canary Islands,ES-CN,22
Cantabria,ES-CB,34
Castile and León,ES-CL,46
Castile-La Mancha,ES-CM,83
Catalonia,ES-CT,41
Ceuta,ES-CE,0
Community of Madrid,ES-MD,28
Extremadura,ES-EX,57
Galicia,ES-GA,38
La Rioja,ES-RI,67
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,38
Valencian Community,ES-VC,37
