geoName,geoCode,Umzugsunternehmen
Baden-Württemberg,DE-BW,45
Bavaria,DE-BY,52
Berlin,DE-BE,78
Brandenburg,DE-BB,63
Bremen,DE-HB,83
Hamburg,DE-HH,87
Hesse,DE-HE,60
Lower Saxony,DE-NI,74
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,67
Rhineland-Palatinate,DE-RP,58
Saarland,DE-SL,28
Saxony,DE-SN,84
Saxony-Anhalt,DE-ST,91
Schleswig-Holstein,DE-SH,76
Thuringia,DE-TH,54
