geoName,geoCode,Granitplatten
Baden-Württemberg,DE-BW,96
Bavaria,DE-BY,93
Berlin,DE-BE,31
Brandenburg,DE-BB,87
Bremen,DE-HB,76
Hamburg,DE-HH,55
Hesse,DE-HE,40
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,48
North Rhine-Westphalia,DE-NW,42
Rhineland-Palatinate,DE-RP,58
Saarland,DE-SL,78
Saxony,DE-SN,79
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,64
