geoName,geoCode,Torantriebe
Baden-Württemberg,DE-BW,32
Bavaria,DE-BY,33
Berlin,DE-BE,20
Brandenburg,DE-BB,76
Bremen,DE-HB,0
Hamburg,DE-HH,15
Hesse,DE-HE,24
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,41
North Rhine-Westphalia,DE-NW,23
Rhineland-Palatinate,DE-RP,25
Saarland,DE-SL,36
Saxony,DE-SN,30
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,51
Thuringia,DE-TH,73
