,geoName,peintre artisan
3,Brittany,67.96875
5,Centre-Val de Loire,39.84375
7,Corsica,0.0
15,Pays de la Loire,86.71875
18,Provence-Alpes-Côte d'Azur,60.9375
21,Île-de-France,46.875
22,Grand-est,0.0
23,Hauts-de-france,12.890625
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,100.0
27,Occitanie,65.625
28,Auvergne-Rhône-Alpes,26.953125
