date,atelier anglais,isPartial
2018-01-07,79,False
2018-01-14,36,False
2018-01-21,42,False
2018-01-28,73,False
2018-02-04,42,False
2018-02-11,49,False
2018-02-18,100,False
2018-02-25,54,False
2018-03-04,85,False
2018-03-11,67,False
2018-03-18,43,False
2018-03-25,80,False
2018-04-01,56,False
2018-04-08,74,False
2018-04-15,33,False
2018-04-22,57,False
2018-04-29,50,False
2018-05-06,33,False
2018-05-13,98,False
2018-05-20,57,False
2018-05-27,42,False
2018-06-03,61,False
2018-06-10,53,False
2018-06-17,50,False
2018-06-24,37,False
2018-07-01,60,False
2018-07-08,57,False
2018-07-15,46,False
2018-07-22,40,False
2018-07-29,54,False
2018-08-05,40,False
2018-08-12,62,False
2018-08-19,87,False
2018-08-26,38,False
2018-09-02,69,False
2018-09-09,62,False
2018-09-16,62,False
2018-09-23,75,False
2018-09-30,68,False
2018-10-07,66,False
2018-10-14,50,False
2018-10-21,50,False
2018-10-28,31,False
2018-11-04,60,False
2018-11-11,85,False
2018-11-18,66,False
2018-11-25,49,False
2018-12-02,79,False
2018-12-09,62,False
2018-12-16,32,False
2018-12-23,85,False
2018-12-30,70,False
2019-01-06,42,False
2019-01-13,43,False
2019-01-20,35,False
2019-01-27,53,False
2019-02-03,18,False
2019-02-10,31,False
2019-02-17,85,False
2019-02-24,68,False
2019-03-03,48,False
2019-03-10,48,False
2019-03-17,84,False
2019-03-24,63,False
2019-03-31,67,False
2019-04-07,50,False
2019-04-14,25,False
2019-04-21,81,False
2019-04-28,37,False
2019-05-05,72,False
2019-05-12,55,False
2019-05-19,66,False
2019-05-26,36,False
2019-06-02,34,False
2019-06-09,47,False
2019-06-16,73,False
2019-06-23,60,False
2019-06-30,54,False
2019-07-07,60,False
2019-07-14,25,False
2019-07-21,76,False
2019-07-28,39,False
2019-08-04,39,False
2019-08-11,29,False
2019-08-18,97,False
2019-08-25,85,False
2019-09-01,52,False
2019-09-08,58,False
2019-09-15,75,False
2019-09-22,61,False
2019-09-29,90,False
2019-10-06,74,False
2019-10-13,74,False
2019-10-20,68,False
2019-10-27,22,False
2019-11-03,71,False
2019-11-10,44,False
2019-11-17,61,False
2019-11-24,59,False
2019-12-01,70,False
2019-12-08,76,False
2019-12-15,61,False
2019-12-22,55,False
2019-12-29,53,False
2020-01-05,64,False
2020-01-12,52,False
2020-01-19,70,False
2020-01-26,63,False
2020-02-02,64,False
2020-02-09,58,False
2020-02-16,80,False
2020-02-23,56,False
2020-03-01,82,False
2020-03-08,61,False
2020-03-15,34,False
2020-03-22,38,False
2020-03-29,21,False
2020-04-05,57,False
2020-04-12,24,False
2020-04-19,52,False
2020-04-26,54,False
2020-05-03,27,False
2020-05-10,62,False
2020-05-17,53,True
