geoName,geoCode,Dachflächenfenster
Burgenland,AT-1,61
Carinthia,AT-2,16
Lower Austria,AT-3,100
Salzburg,AT-5,21
Styria,AT-6,46
Tyrol,AT-7,28
Upper Austria,AT-4,36
Vienna,AT-9,37
Vorarlberg,AT-8,0
