geoName,geoCode,Trockenbau
Burgenland,AT-1,100
Carinthia,AT-2,22
Lower Austria,AT-3,40
Salzburg,AT-5,69
Styria,AT-6,86
Tyrol,AT-7,86
Upper Austria,AT-4,80
Vienna,AT-9,49
Vorarlberg,AT-8,62
