geoName,geoCode,Partyraum
Baden-Württemberg,DE-BW,34
Bavaria,DE-BY,39
Berlin,DE-BE,65
Brandenburg,DE-BB,54
Bremen,DE-HB,100
Hamburg,DE-HH,58
Hesse,DE-HE,27
Lower Saxony,DE-NI,38
Mecklenburg-Vorpommern,DE-MV,74
North Rhine-Westphalia,DE-NW,71
Rhineland-Palatinate,DE-RP,31
Saarland,DE-SL,65
Saxony,DE-SN,83
Saxony-Anhalt,DE-ST,78
Schleswig-Holstein,DE-SH,36
Thuringia,DE-TH,84
