geoName,geoCode,pasticceria
Abruzzo,IT-65,48
Aosta,IT-23,95
Apulia,IT-75,52
Basilicata,IT-77,37
Calabria,IT-78,44
Campania,IT-72,55
Emilia-Romagna,IT-45,68
Friuli-Venezia Giulia,IT-36,62
Lazio,IT-62,58
Liguria,IT-42,67
Lombardy,IT-25,82
Marche,IT-57,53
Molise,IT-67,48
Piedmont,IT-21,77
Sardinia,IT-88,58
Sicily,IT-82,61
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,76
Umbria,IT-55,48
Veneto,IT-34,100
