,geoName,means
0,Aargau,43.0
1,Appenzell Innerrhoden,13.0
2,Appenzell Outer Rhodes,15.0
3,Basel-Landschaft,30.0
4,Basel-Stadt,31.0
5,Canton of Bern,65.0
6,Canton of Fribourg,7.0
7,Canton of Glarus,11.0
8,Canton of Jura,2.0
9,Canton of Neuchâtel,1.0
10,Canton of Obwalden,17.0
11,Canton of Schaffhausen,17.0
12,Canton of Schwyz,24.0
13,Canton of Solothurn,34.0
14,Canton of Uri,14.0
15,Canton of Zug,29.0
16,Geneva,5.0
17,Grisons,24.0
18,Lucerne,34.0
19,Nidwalden,15.0
20,St. Gallen,37.0
21,Thurgau,36.0
22,Ticino,4.0
23,Valais,8.0
24,Vaud,7.0
25,Zurich,100.0
