,geoName,means
0,Aargau,
1,Appenzell Innerrhoden,
2,Appenzell Outer Rhodes,
3,Basel-Landschaft,
4,Basel-Stadt,
5,Canton of Bern,
6,Canton of Fribourg,
7,Canton of Glarus,
8,Canton of Jura,
9,Canton of Neuchâtel,
10,Canton of Obwalden,
11,Canton of Schaffhausen,
12,Canton of Schwyz,
13,Canton of Solothurn,
14,Canton of Uri,
15,Canton of Zug,
16,Geneva,
17,Grisons,
18,Lucerne,
19,Nidwalden,
20,St. Gallen,
21,Thurgau,
22,Ticino,
23,Valais,
24,Vaud,
25,Zurich,
