,geoName,means
0,Aargau,86.0
1,Appenzell Innerrhoden,11.0
2,Appenzell Outer Rhodes,29.0
3,Basel-Landschaft,48.0
4,Basel-Stadt,9.0
5,Canton of Bern,72.0
6,Canton of Fribourg,2.0
7,Canton of Glarus,9.0
8,Canton of Jura,0.0
9,Canton of Neuchâtel,1.0
10,Canton of Obwalden,20.0
11,Canton of Schaffhausen,8.0
12,Canton of Schwyz,25.0
13,Canton of Solothurn,28.0
14,Canton of Uri,17.0
15,Canton of Zug,24.0
16,Geneva,0.0
17,Grisons,8.0
18,Lucerne,88.0
19,Nidwalden,7.0
20,St. Gallen,100.0
21,Thurgau,35.0
22,Ticino,1.0
23,Valais,1.0
24,Vaud,5.0
25,Zurich,95.0
