,geoName,means
0,Aargau,80.0
1,Appenzell Innerrhoden,19.0
2,Appenzell Outer Rhodes,19.0
3,Basel-Landschaft,66.0
4,Basel-Stadt,73.0
5,Canton of Bern,76.0
6,Canton of Fribourg,6.0
7,Canton of Glarus,15.0
8,Canton of Jura,4.0
9,Canton of Neuchâtel,1.0
10,Canton of Obwalden,21.0
11,Canton of Schaffhausen,34.0
12,Canton of Schwyz,66.0
13,Canton of Solothurn,68.0
14,Canton of Uri,16.0
15,Canton of Zug,46.0
16,Geneva,41.0
17,Grisons,63.0
18,Lucerne,100.0
19,Nidwalden,20.0
20,St. Gallen,87.0
21,Thurgau,58.0
22,Ticino,5.0
23,Valais,10.0
24,Vaud,11.0
25,Zurich,88.0
