geoName,geoCode,Heizungsmonteur
Baden-Württemberg,DE-BW,14
Bavaria,DE-BY,7
Berlin,DE-BE,22
Brandenburg,DE-BB,60
Bremen,DE-HB,58
Hamburg,DE-HH,37
Hesse,DE-HE,19
Lower Saxony,DE-NI,25
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,14
Rhineland-Palatinate,DE-RP,21
Saarland,DE-SL,0
Saxony,DE-SN,22
Saxony-Anhalt,DE-ST,37
Schleswig-Holstein,DE-SH,20
Thuringia,DE-TH,33
