geoName,geoCode,Sanitärbedarf
Baden-Württemberg,DE-BW,58
Bavaria,DE-BY,41
Berlin,DE-BE,43
Brandenburg,DE-BB,0
Bremen,DE-HB,100
Hamburg,DE-HH,63
Hesse,DE-HE,27
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,40
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,0
Saxony,DE-SN,25
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,50
Thuringia,DE-TH,0
