date,Sanitärbedarf,isPartial
2018-01-07,28,False
2018-01-14,56,False
2018-01-21,75,False
2018-01-28,56,False
2018-02-04,39,False
2018-02-11,58,False
2018-02-18,43,False
2018-02-25,38,False
2018-03-04,76,False
2018-03-11,38,False
2018-03-18,100,False
2018-03-25,76,False
2018-04-01,45,False
2018-04-08,48,False
2018-04-15,68,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,47,False
2018-05-20,30,False
2018-05-27,28,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,37,False
2018-06-24,57,False
2018-07-01,28,False
2018-07-08,55,False
2018-07-15,59,False
2018-07-22,89,False
2018-07-29,45,False
2018-08-05,45,False
2018-08-12,50,False
2018-08-19,29,False
2018-08-26,43,False
2018-09-02,29,False
2018-09-09,57,False
2018-09-16,58,False
2018-09-23,0,False
2018-09-30,29,False
2018-10-07,48,False
2018-10-14,49,False
2018-10-21,29,False
2018-10-28,47,False
2018-11-04,41,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,46,False
2018-12-09,69,False
2018-12-16,43,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,44,False
2019-01-13,39,False
2019-01-20,26,False
2019-01-27,39,False
2019-02-03,53,False
2019-02-10,27,False
2019-02-17,54,False
2019-02-24,55,False
2019-03-03,54,False
2019-03-10,39,False
2019-03-17,55,False
2019-03-24,82,False
2019-03-31,27,False
2019-04-07,41,False
2019-04-14,30,False
2019-04-21,29,False
2019-04-28,27,False
2019-05-05,40,False
2019-05-12,82,False
2019-05-19,26,False
2019-05-26,42,False
2019-06-02,53,False
2019-06-09,37,False
2019-06-16,37,False
2019-06-23,27,False
2019-06-30,54,False
2019-07-07,40,False
2019-07-14,28,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,29,False
2019-08-18,47,False
2019-08-25,27,False
2019-09-01,40,False
2019-09-08,81,False
2019-09-15,41,False
2019-09-22,26,False
2019-09-29,27,False
2019-10-06,79,False
2019-10-13,40,False
2019-10-20,36,False
2019-10-27,39,False
2019-11-03,50,False
2019-11-10,25,False
2019-11-17,33,False
2019-11-24,32,False
2019-12-01,38,False
2019-12-08,38,False
2019-12-15,76,False
2019-12-22,29,False
2019-12-29,37,False
2020-01-05,36,False
2020-01-12,23,False
2020-01-19,24,False
2020-01-26,36,False
2020-02-02,31,False
2020-02-09,46,False
2020-02-16,40,False
2020-02-23,23,False
2020-03-01,69,False
2020-03-08,29,False
2020-03-15,65,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,24,False
2020-04-12,67,False
2020-04-19,44,False
2020-04-26,64,False
2020-05-03,22,False
2020-05-10,29,False
