geoName,geoCode,bar
Abruzzo,IT-65,76
Aosta,IT-23,100
Apulia,IT-75,81
Basilicata,IT-77,60
Calabria,IT-78,61
Campania,IT-72,86
Emilia-Romagna,IT-45,85
Friuli-Venezia Giulia,IT-36,93
Lazio,IT-62,81
Liguria,IT-42,79
Lombardy,IT-25,89
Marche,IT-57,74
Molise,IT-67,51
Piedmont,IT-21,78
Sardinia,IT-88,68
Sicily,IT-82,80
Trentino-Alto Adige/South Tyrol,IT-32,73
Tuscany,IT-52,81
Umbria,IT-55,78
Veneto,IT-34,82
