geoName,geoCode,Lebensmittel liefern lassen
Baden-Württemberg,DE-BW,58
Bavaria,DE-BY,79
Berlin,DE-BE,66
Brandenburg,DE-BB,42
Bremen,DE-HB,0
Hamburg,DE-HH,73
Hesse,DE-HE,67
Lower Saxony,DE-NI,63
Mecklenburg-Vorpommern,DE-MV,53
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,71
Saxony,DE-SN,40
Saxony-Anhalt,DE-ST,39
Schleswig-Holstein,DE-SH,85
Thuringia,DE-TH,78
