geoName,geoCode,Mensajería
Andalusia,ES-AN,64
Aragon,ES-AR,38
Asturias,ES-AS,31
Balearic Islands,ES-IB,33
Basque Country,ES-PV,40
Canary Islands,ES-CN,76
Cantabria,ES-CB,74
Castile and León,ES-CL,57
Castile-La Mancha,ES-CM,56
Catalonia,ES-CT,41
Ceuta,ES-CE,0
Community of Madrid,ES-MD,61
Extremadura,ES-EX,46
Galicia,ES-GA,81
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,100
Region of Murcia,ES-MC,70
Valencian Community,ES-VC,49
