geoName,geoCode,Brunnen bauen
Baden-Württemberg,DE-BW,41
Bavaria,DE-BY,37
Berlin,DE-BE,34
Brandenburg,DE-BB,57
Bremen,DE-HB,0
Hamburg,DE-HH,17
Hesse,DE-HE,55
Lower Saxony,DE-NI,53
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,50
Rhineland-Palatinate,DE-RP,46
Saarland,DE-SL,100
Saxony,DE-SN,59
Saxony-Anhalt,DE-ST,31
Schleswig-Holstein,DE-SH,56
Thuringia,DE-TH,78
