date,Entsorgung,isPartial
2018-01-07,60,False
2018-01-14,59,False
2018-01-21,17,False
2018-01-28,67,False
2018-02-04,51,False
2018-02-11,49,False
2018-02-18,33,False
2018-02-25,41,False
2018-03-04,34,False
2018-03-11,50,False
2018-03-18,49,False
2018-03-25,61,False
2018-04-01,71,False
2018-04-08,85,False
2018-04-15,53,False
2018-04-22,50,False
2018-04-29,36,False
2018-05-06,38,False
2018-05-13,43,False
2018-05-20,28,False
2018-05-27,67,False
2018-06-03,59,False
2018-06-10,49,False
2018-06-17,58,False
2018-06-24,52,False
2018-07-01,17,False
2018-07-08,70,False
2018-07-15,37,False
2018-07-22,74,False
2018-07-29,56,False
2018-08-05,27,False
2018-08-12,60,False
2018-08-19,52,False
2018-08-26,35,False
2018-09-02,52,False
2018-09-09,17,False
2018-09-16,34,False
2018-09-23,79,False
2018-09-30,67,False
2018-10-07,72,False
2018-10-14,42,False
2018-10-21,25,False
2018-10-28,59,False
2018-11-04,56,False
2018-11-11,50,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,33,False
2018-12-09,25,False
2018-12-16,35,False
2018-12-23,36,False
2018-12-30,48,False
2019-01-06,71,False
2019-01-13,40,False
2019-01-20,55,False
2019-01-27,64,False
2019-02-03,24,False
2019-02-10,16,False
2019-02-17,73,False
2019-02-24,57,False
2019-03-03,33,False
2019-03-10,25,False
2019-03-17,66,False
2019-03-24,100,False
2019-03-31,100,False
2019-04-07,50,False
2019-04-14,63,False
2019-04-21,45,False
2019-04-28,58,False
2019-05-05,32,False
2019-05-12,78,False
2019-05-19,66,False
2019-05-26,44,False
2019-06-02,60,False
2019-06-09,36,False
2019-06-16,54,False
2019-06-23,18,False
2019-06-30,28,False
2019-07-07,38,False
2019-07-14,49,False
2019-07-21,43,False
2019-07-28,30,False
2019-08-04,66,False
2019-08-11,53,False
2019-08-18,36,False
2019-08-25,45,False
2019-09-01,26,False
2019-09-08,80,False
2019-09-15,27,False
2019-09-22,66,False
2019-09-29,25,False
2019-10-06,18,False
2019-10-13,59,False
2019-10-20,99,False
2019-10-27,59,False
2019-11-03,24,False
2019-11-10,51,False
2019-11-17,68,False
2019-11-24,16,False
2019-12-01,34,False
2019-12-08,35,False
2019-12-15,44,False
2019-12-22,24,False
2019-12-29,82,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,46,False
2020-01-26,30,False
2020-02-02,71,False
2020-02-09,74,False
2020-02-16,76,False
2020-02-23,47,False
2020-03-01,43,False
2020-03-08,48,False
2020-03-15,40,False
2020-03-22,51,False
2020-03-29,55,False
2020-04-05,53,False
2020-04-12,71,False
2020-04-19,19,False
2020-04-26,68,False
2020-05-03,61,False
2020-05-10,31,False
