date,Partyraum mieten,isPartial
2018-01-07,90,False
2018-01-14,93,False
2018-01-21,70,False
2018-01-28,70,False
2018-02-04,64,False
2018-02-11,65,False
2018-02-18,66,False
2018-02-25,65,False
2018-03-04,69,False
2018-03-11,61,False
2018-03-18,62,False
2018-03-25,45,False
2018-04-01,44,False
2018-04-08,53,False
2018-04-15,39,False
2018-04-22,53,False
2018-04-29,48,False
2018-05-06,45,False
2018-05-13,34,False
2018-05-20,50,False
2018-05-27,47,False
2018-06-03,39,False
2018-06-10,52,False
2018-06-17,35,False
2018-06-24,48,False
2018-07-01,46,False
2018-07-08,49,False
2018-07-15,41,False
2018-07-22,28,False
2018-07-29,43,False
2018-08-05,45,False
2018-08-12,51,False
2018-08-19,78,False
2018-08-26,52,False
2018-09-02,61,False
2018-09-09,83,False
2018-09-16,53,False
2018-09-23,60,False
2018-09-30,70,False
2018-10-07,80,False
2018-10-14,65,False
2018-10-21,52,False
2018-10-28,77,False
2018-11-04,70,False
2018-11-11,59,False
2018-11-18,80,False
2018-11-25,49,False
2018-12-02,33,False
2018-12-09,48,False
2018-12-16,32,False
2018-12-23,62,False
2018-12-30,64,False
2019-01-06,100,False
2019-01-13,73,False
2019-01-20,64,False
2019-01-27,62,False
2019-02-03,55,False
2019-02-10,61,False
2019-02-17,52,False
2019-02-24,48,False
2019-03-03,66,False
2019-03-10,53,False
2019-03-17,58,False
2019-03-24,43,False
2019-03-31,51,False
2019-04-07,41,False
2019-04-14,49,False
2019-04-21,55,False
2019-04-28,47,False
2019-05-05,45,False
2019-05-12,51,False
2019-05-19,51,False
2019-05-26,28,False
2019-06-02,39,False
2019-06-09,44,False
2019-06-16,35,False
2019-06-23,36,False
2019-06-30,35,False
2019-07-07,52,False
2019-07-14,47,False
2019-07-21,50,False
2019-07-28,55,False
2019-08-04,51,False
2019-08-11,64,False
2019-08-18,59,False
2019-08-25,50,False
2019-09-01,75,False
2019-09-08,60,False
2019-09-15,81,False
2019-09-22,72,False
2019-09-29,87,False
2019-10-06,69,False
2019-10-13,70,False
2019-10-20,82,False
2019-10-27,67,False
2019-11-03,81,False
2019-11-10,79,False
2019-11-17,63,False
2019-11-24,48,False
2019-12-01,62,False
2019-12-08,69,False
2019-12-15,52,False
2019-12-22,44,False
2019-12-29,66,False
2020-01-05,74,False
2020-01-12,100,False
2020-01-19,75,False
2020-01-26,82,False
2020-02-02,85,False
2020-02-09,64,False
2020-02-16,54,False
2020-02-23,55,False
2020-03-01,68,False
2020-03-08,50,False
2020-03-15,17,False
2020-03-22,4,False
2020-03-29,7,False
2020-04-05,12,False
2020-04-12,9,False
2020-04-19,3,False
2020-04-26,8,False
2020-05-03,11,False
2020-05-10,14,False
2020-05-17,24,True
