geoName,geoCode,Partyraum mieten
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,30
Berlin,DE-BE,59
Brandenburg,DE-BB,41
Bremen,DE-HB,100
Hamburg,DE-HH,56
Hesse,DE-HE,27
Lower Saxony,DE-NI,36
Mecklenburg-Vorpommern,DE-MV,69
North Rhine-Westphalia,DE-NW,51
Rhineland-Palatinate,DE-RP,25
Saarland,DE-SL,92
Saxony,DE-SN,67
Saxony-Anhalt,DE-ST,63
Schleswig-Holstein,DE-SH,30
Thuringia,DE-TH,25
