date,bomboniere battesimo,isPartial
2018-01-07,76,False
2018-01-14,88,False
2018-01-21,84,False
2018-01-28,72,False
2018-02-04,72,False
2018-02-11,83,False
2018-02-18,90,False
2018-02-25,83,False
2018-03-04,100,False
2018-03-11,95,False
2018-03-18,87,False
2018-03-25,59,False
2018-04-01,68,False
2018-04-08,95,False
2018-04-15,86,False
2018-04-22,73,False
2018-04-29,81,False
2018-05-06,78,False
2018-05-13,64,False
2018-05-20,69,False
2018-05-27,65,False
2018-06-03,62,False
2018-06-10,63,False
2018-06-17,59,False
2018-06-24,49,False
2018-07-01,42,False
2018-07-08,52,False
2018-07-15,50,False
2018-07-22,46,False
2018-07-29,57,False
2018-08-05,44,False
2018-08-12,56,False
2018-08-19,67,False
2018-08-26,73,False
2018-09-02,80,False
2018-09-09,70,False
2018-09-16,68,False
2018-09-23,59,False
2018-09-30,63,False
2018-10-07,41,False
2018-10-14,37,False
2018-10-21,46,False
2018-10-28,51,False
2018-11-04,39,False
2018-11-11,40,False
2018-11-18,23,False
2018-11-25,32,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,13,False
2018-12-23,16,False
2018-12-30,43,False
2019-01-06,55,False
2019-01-13,70,False
2019-01-20,67,False
2019-01-27,79,False
2019-02-03,60,False
2019-02-10,51,False
2019-02-17,67,False
2019-02-24,69,False
2019-03-03,71,False
2019-03-10,96,False
2019-03-17,65,False
2019-03-24,70,False
2019-03-31,58,False
2019-04-07,72,False
2019-04-14,45,False
2019-04-21,50,False
2019-04-28,74,False
2019-05-05,67,False
2019-05-12,71,False
2019-05-19,45,False
2019-05-26,60,False
2019-06-02,65,False
2019-06-09,37,False
2019-06-16,37,False
2019-06-23,39,False
2019-06-30,45,False
2019-07-07,53,False
2019-07-14,51,False
2019-07-21,55,False
2019-07-28,36,False
2019-08-04,46,False
2019-08-11,42,False
2019-08-18,58,False
2019-08-25,52,False
2019-09-01,66,False
2019-09-08,72,False
2019-09-15,61,False
2019-09-22,47,False
2019-09-29,54,False
2019-10-06,49,False
2019-10-13,31,False
2019-10-20,39,False
2019-10-27,39,False
2019-11-03,44,False
2019-11-10,45,False
2019-11-17,48,False
2019-11-24,19,False
2019-12-01,28,False
2019-12-08,21,False
2019-12-15,18,False
2019-12-22,14,False
2019-12-29,40,False
2020-01-05,50,False
2020-01-12,70,False
2020-01-19,84,False
2020-01-26,86,False
2020-02-02,62,False
2020-02-09,60,False
2020-02-16,57,False
2020-02-23,44,False
2020-03-01,52,False
2020-03-08,11,False
2020-03-15,8,False
2020-03-22,13,False
2020-03-29,11,False
2020-04-05,6,False
2020-04-12,9,False
2020-04-19,10,False
2020-04-26,8,True
