geoName,geoCode,Psicólogo
Andalusia,ES-AN,75
Aragon,ES-AR,52
Asturias,ES-AS,64
Balearic Islands,ES-IB,67
Basque Country,ES-PV,75
Canary Islands,ES-CN,78
Cantabria,ES-CB,70
Castile and León,ES-CL,77
Castile-La Mancha,ES-CM,80
Catalonia,ES-CT,50
Ceuta,ES-CE,0
Community of Madrid,ES-MD,77
Extremadura,ES-EX,59
Galicia,ES-GA,54
La Rioja,ES-RI,100
Melilla,ES-ML,0
Navarre,ES-NC,80
Region of Murcia,ES-MC,68
Valencian Community,ES-VC,81
