geoName,geoCode,Kältetechnik
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,79
Berlin,DE-BE,22
Brandenburg,DE-BB,33
Bremen,DE-HB,84
Hamburg,DE-HH,57
Hesse,DE-HE,72
Lower Saxony,DE-NI,69
Mecklenburg-Vorpommern,DE-MV,55
North Rhine-Westphalia,DE-NW,75
Rhineland-Palatinate,DE-RP,76
Saarland,DE-SL,69
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,42
Thuringia,DE-TH,86
