geoName,geoCode,dachdecken
Baden-Württemberg,DE-BW,42
Bavaria,DE-BY,30
Berlin,DE-BE,23
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,61
Hesse,DE-HE,41
Lower Saxony,DE-NI,44
Mecklenburg-Vorpommern,DE-MV,56
North Rhine-Westphalia,DE-NW,43
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,0
Saxony,DE-SN,49
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,73
Thuringia,DE-TH,41
