geoName,geoCode,Solaranlage
Burgenland,AT-1,79
Carinthia,AT-2,50
Lower Austria,AT-3,75
Salzburg,AT-5,55
Styria,AT-6,60
Tyrol,AT-7,81
Upper Austria,AT-4,93
Vienna,AT-9,43
Vorarlberg,AT-8,100
