geoName,geoCode,Drehtorantrieb
Baden-Württemberg,DE-BW,8
Bavaria,DE-BY,19
Berlin,DE-BE,39
Brandenburg,DE-BB,95
Bremen,DE-HB,0
Hamburg,DE-HH,18
Hesse,DE-HE,18
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,79
North Rhine-Westphalia,DE-NW,18
Rhineland-Palatinate,DE-RP,18
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,42
