geoName,geoCode,bouquet
Abruzzo,IT-65,51
Aosta,IT-23,100
Apulia,IT-75,46
Basilicata,IT-77,54
Calabria,IT-78,51
Campania,IT-72,58
Emilia-Romagna,IT-45,42
Friuli-Venezia Giulia,IT-36,53
Lazio,IT-62,45
Liguria,IT-42,29
Lombardy,IT-25,48
Marche,IT-57,28
Molise,IT-67,77
Piedmont,IT-21,43
Sardinia,IT-88,53
Sicily,IT-82,41
Trentino-Alto Adige/South Tyrol,IT-32,22
Tuscany,IT-52,45
Umbria,IT-55,45
Veneto,IT-34,52
