geoName,geoCode,antica sartoria
Abruzzo,IT-65,47
Aosta,IT-23,0
Apulia,IT-75,41
Basilicata,IT-77,0
Calabria,IT-78,100
Campania,IT-72,40
Emilia-Romagna,IT-45,14
Friuli-Venezia Giulia,IT-36,33
Lazio,IT-62,28
Liguria,IT-42,36
Lombardy,IT-25,20
Marche,IT-57,0
Molise,IT-67,0
Piedmont,IT-21,6
Sardinia,IT-88,0
Sicily,IT-82,39
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,18
Umbria,IT-55,0
Veneto,IT-34,22
