date,antica sartoria,isPartial
2018-01-07,8,False
2018-01-14,6,False
2018-01-21,5,False
2018-01-28,9,False
2018-02-04,12,False
2018-02-11,12,False
2018-02-18,18,False
2018-02-25,6,False
2018-03-04,0,False
2018-03-11,17,False
2018-03-18,15,False
2018-03-25,19,False
2018-04-01,33,False
2018-04-08,20,False
2018-04-15,17,False
2018-04-22,24,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,40,False
2018-05-20,19,False
2018-05-27,46,False
2018-06-03,41,False
2018-06-10,43,False
2018-06-17,60,False
2018-06-24,63,False
2018-07-01,46,False
2018-07-08,81,False
2018-07-15,96,False
2018-07-22,82,False
2018-07-29,63,False
2018-08-05,82,False
2018-08-12,100,False
2018-08-19,91,False
2018-08-26,76,False
2018-09-02,41,False
2018-09-09,46,False
2018-09-16,34,False
2018-09-23,23,False
2018-09-30,17,False
2018-10-07,19,False
2018-10-14,9,False
2018-10-21,11,False
2018-10-28,14,False
2018-11-04,3,False
2018-11-11,5,False
2018-11-18,6,False
2018-11-25,3,False
2018-12-02,6,False
2018-12-09,8,False
2018-12-16,10,False
2018-12-23,4,False
2018-12-30,12,False
2019-01-06,19,False
2019-01-13,15,False
2019-01-20,20,False
2019-01-27,21,False
2019-02-03,7,False
2019-02-10,13,False
2019-02-17,11,False
2019-02-24,13,False
2019-03-03,12,False
2019-03-10,14,False
2019-03-17,25,False
2019-03-24,17,False
2019-03-31,24,False
2019-04-07,20,False
2019-04-14,27,False
2019-04-21,56,False
2019-04-28,55,False
2019-05-05,44,False
2019-05-12,37,False
2019-05-19,41,False
2019-05-26,45,False
2019-06-02,44,False
2019-06-09,58,False
2019-06-16,69,False
2019-06-23,67,False
2019-06-30,86,False
2019-07-07,73,False
2019-07-14,65,False
2019-07-21,60,False
2019-07-28,68,False
2019-08-04,69,False
2019-08-11,72,False
2019-08-18,76,False
2019-08-25,50,False
2019-09-01,33,False
2019-09-08,25,False
2019-09-15,23,False
2019-09-22,18,False
2019-09-29,14,False
2019-10-06,10,False
2019-10-13,12,False
2019-10-20,6,False
2019-10-27,10,False
2019-11-03,11,False
2019-11-10,4,False
2019-11-17,8,False
2019-11-24,7,False
2019-12-01,10,False
2019-12-08,13,False
2019-12-15,7,False
2019-12-22,12,False
2019-12-29,6,False
2020-01-05,14,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,7,False
2020-02-02,9,False
2020-02-09,15,False
2020-02-16,13,False
2020-02-23,13,False
2020-03-01,18,False
2020-03-08,6,False
2020-03-15,13,False
2020-03-22,7,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,17,False
2020-04-19,14,False
2020-04-26,14,True
