date,Wasser Installateur,isPartial
2018-01-07,29,False
2018-01-14,34,False
2018-01-21,58,False
2018-01-28,23,False
2018-02-04,100,False
2018-02-11,18,False
2018-02-18,61,False
2018-02-25,64,False
2018-03-04,35,False
2018-03-11,59,False
2018-03-18,47,False
2018-03-25,44,False
2018-04-01,84,False
2018-04-08,59,False
2018-04-15,42,False
2018-04-22,43,False
2018-04-29,46,False
2018-05-06,31,False
2018-05-13,46,False
2018-05-20,46,False
2018-05-27,35,False
2018-06-03,41,False
2018-06-10,42,False
2018-06-17,23,False
2018-06-24,71,False
2018-07-01,35,False
2018-07-08,56,False
2018-07-15,54,False
2018-07-22,61,False
2018-07-29,31,False
2018-08-05,56,False
2018-08-12,65,False
2018-08-19,24,False
2018-08-26,48,False
2018-09-02,36,False
2018-09-09,77,False
2018-09-16,71,False
2018-09-23,42,False
2018-09-30,42,False
2018-10-07,54,False
2018-10-14,30,False
2018-10-21,60,False
2018-10-28,23,False
2018-11-04,34,False
2018-11-11,40,False
2018-11-18,50,False
2018-11-25,51,False
2018-12-02,39,False
2018-12-09,40,False
2018-12-16,17,False
2018-12-23,27,False
2018-12-30,46,False
2019-01-06,55,False
2019-01-13,73,False
2019-01-20,40,False
2019-01-27,43,False
2019-02-03,27,False
2019-02-10,33,False
2019-02-17,45,False
2019-02-24,34,False
2019-03-03,50,False
2019-03-10,57,False
2019-03-17,62,False
2019-03-24,51,False
2019-03-31,61,False
2019-04-07,34,False
2019-04-14,61,False
2019-04-21,60,False
2019-04-28,25,False
2019-05-05,65,False
2019-05-12,34,False
2019-05-19,50,False
2019-05-26,63,False
2019-06-02,28,False
2019-06-09,42,False
2019-06-16,51,False
2019-06-23,28,False
2019-06-30,44,False
2019-07-07,49,False
2019-07-14,35,False
2019-07-21,51,False
2019-07-28,27,False
2019-08-04,55,False
2019-08-11,76,False
2019-08-18,41,False
2019-08-25,45,False
2019-09-01,33,False
2019-09-08,62,False
2019-09-15,34,False
2019-09-22,38,False
2019-09-29,25,False
2019-10-06,38,False
2019-10-13,55,False
2019-10-20,28,False
2019-10-27,65,False
2019-11-03,26,False
2019-11-10,42,False
2019-11-17,51,False
2019-11-24,55,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,62,False
2019-12-22,24,False
2019-12-29,34,False
2020-01-05,70,False
2020-01-12,67,False
2020-01-19,23,False
2020-01-26,44,False
2020-02-02,44,False
2020-02-09,62,False
2020-02-16,40,False
2020-02-23,50,False
2020-03-01,48,False
2020-03-08,59,False
2020-03-15,18,False
2020-03-22,31,False
2020-03-29,27,False
2020-04-05,39,False
2020-04-12,46,False
2020-04-19,27,False
2020-04-26,53,False
2020-05-03,54,False
2020-05-10,27,False
