geoName,geoCode,Wasser Installateur
Baden-Württemberg,DE-BW,57
Bavaria,DE-BY,43
Berlin,DE-BE,65
Brandenburg,DE-BB,56
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,68
Lower Saxony,DE-NI,95
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,68
Saarland,DE-SL,0
Saxony,DE-SN,0
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,51
Thuringia,DE-TH,0
