geoName,geoCode,piante carnivore
Abruzzo,IT-65,70
Aosta,IT-23,0
Apulia,IT-75,79
Basilicata,IT-77,0
Calabria,IT-78,44
Campania,IT-72,45
Emilia-Romagna,IT-45,34
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,61
Liguria,IT-42,67
Lombardy,IT-25,45
Marche,IT-57,27
Molise,IT-67,0
Piedmont,IT-21,72
Sardinia,IT-88,70
Sicily,IT-82,64
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,47
Umbria,IT-55,52
Veneto,IT-34,50
