geoName,geoCode,Wasseraufbereitung
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,83
Berlin,DE-BE,52
Brandenburg,DE-BB,31
Bremen,DE-HB,68
Hamburg,DE-HH,43
Hesse,DE-HE,44
Lower Saxony,DE-NI,44
Mecklenburg-Vorpommern,DE-MV,69
North Rhine-Westphalia,DE-NW,61
Rhineland-Palatinate,DE-RP,73
Saarland,DE-SL,35
Saxony,DE-SN,34
Saxony-Anhalt,DE-ST,38
Schleswig-Holstein,DE-SH,46
Thuringia,DE-TH,77
