date,Wasseraufbereitung,isPartial
2018-01-07,81,False
2018-01-14,65,False
2018-01-21,44,False
2018-01-28,51,False
2018-02-04,53,False
2018-02-11,45,False
2018-02-18,44,False
2018-02-25,59,False
2018-03-04,37,False
2018-03-11,81,False
2018-03-18,78,False
2018-03-25,35,False
2018-04-01,31,False
2018-04-08,89,False
2018-04-15,80,False
2018-04-22,29,False
2018-04-29,84,False
2018-05-06,31,False
2018-05-13,36,False
2018-05-20,54,False
2018-05-27,52,False
2018-06-03,37,False
2018-06-10,50,False
2018-06-17,29,False
2018-06-24,81,False
2018-07-01,95,False
2018-07-08,57,False
2018-07-15,23,False
2018-07-22,100,False
2018-07-29,70,False
2018-08-05,78,False
2018-08-12,70,False
2018-08-19,69,False
2018-08-26,67,False
2018-09-02,45,False
2018-09-09,82,False
2018-09-16,52,False
2018-09-23,79,False
2018-09-30,60,False
2018-10-07,34,False
2018-10-14,84,False
2018-10-21,30,False
2018-10-28,33,False
2018-11-04,35,False
2018-11-11,43,False
2018-11-18,49,False
2018-11-25,50,False
2018-12-02,64,False
2018-12-09,86,False
2018-12-16,59,False
2018-12-23,42,False
2018-12-30,91,False
2019-01-06,62,False
2019-01-13,61,False
2019-01-20,34,False
2019-01-27,71,False
2019-02-03,82,False
2019-02-10,21,False
2019-02-17,42,False
2019-02-24,43,False
2019-03-03,35,False
2019-03-10,91,False
2019-03-17,92,False
2019-03-24,71,False
2019-03-31,42,False
2019-04-07,64,False
2019-04-14,69,False
2019-04-21,75,False
2019-04-28,64,False
2019-05-05,48,False
2019-05-12,64,False
2019-05-19,70,False
2019-05-26,43,False
2019-06-02,35,False
2019-06-09,43,False
2019-06-16,79,False
2019-06-23,57,False
2019-06-30,56,False
2019-07-07,35,False
2019-07-14,77,False
2019-07-21,55,False
2019-07-28,54,False
2019-08-04,58,False
2019-08-11,37,False
2019-08-18,73,False
2019-08-25,42,False
2019-09-01,76,False
2019-09-08,49,False
2019-09-15,78,False
2019-09-22,34,False
2019-09-29,63,False
2019-10-06,51,False
2019-10-13,62,False
2019-10-20,28,False
2019-10-27,67,False
2019-11-03,58,False
2019-11-10,85,False
2019-11-17,45,False
2019-11-24,57,False
2019-12-01,68,False
2019-12-08,39,False
2019-12-15,59,False
2019-12-22,34,False
2019-12-29,32,False
2020-01-05,81,False
2020-01-12,66,False
2020-01-19,38,False
2020-01-26,56,False
2020-02-02,43,False
2020-02-09,60,False
2020-02-16,62,False
2020-02-23,90,False
2020-03-01,42,False
2020-03-08,57,False
2020-03-15,45,False
2020-03-22,62,False
2020-03-29,33,False
2020-04-05,49,False
2020-04-12,35,False
2020-04-19,45,False
2020-04-26,50,False
2020-05-03,45,False
2020-05-10,51,False
