date,Waschmaschine reinigen,isPartial
2018-01-07,49,False
2018-01-14,38,False
2018-01-21,40,False
2018-01-28,45,False
2018-02-04,40,False
2018-02-11,33,False
2018-02-18,46,False
2018-02-25,51,False
2018-03-04,45,False
2018-03-11,49,False
2018-03-18,47,False
2018-03-25,37,False
2018-04-01,48,False
2018-04-08,36,False
2018-04-15,52,False
2018-04-22,42,False
2018-04-29,54,False
2018-05-06,35,False
2018-05-13,46,False
2018-05-20,41,False
2018-05-27,57,False
2018-06-03,37,False
2018-06-10,48,False
2018-06-17,46,False
2018-06-24,51,False
2018-07-01,45,False
2018-07-08,75,False
2018-07-15,63,False
2018-07-22,61,False
2018-07-29,67,False
2018-08-05,69,False
2018-08-12,47,False
2018-08-19,63,False
2018-08-26,51,False
2018-09-02,49,False
2018-09-09,39,False
2018-09-16,47,False
2018-09-23,43,False
2018-09-30,49,False
2018-10-07,37,False
2018-10-14,47,False
2018-10-21,50,False
2018-10-28,33,False
2018-11-04,57,False
2018-11-11,44,False
2018-11-18,47,False
2018-11-25,44,False
2018-12-02,41,False
2018-12-09,64,False
2018-12-16,63,False
2018-12-23,53,False
2018-12-30,47,False
2019-01-06,53,False
2019-01-13,55,False
2019-01-20,56,False
2019-01-27,53,False
2019-02-03,41,False
2019-02-10,67,False
2019-02-17,53,False
2019-02-24,52,False
2019-03-03,52,False
2019-03-10,52,False
2019-03-17,48,False
2019-03-24,62,False
2019-03-31,48,False
2019-04-07,54,False
2019-04-14,50,False
2019-04-21,61,False
2019-04-28,49,False
2019-05-05,57,False
2019-05-12,61,False
2019-05-19,51,False
2019-05-26,57,False
2019-06-02,59,False
2019-06-09,58,False
2019-06-16,83,False
2019-06-23,65,False
2019-06-30,56,False
2019-07-07,58,False
2019-07-14,66,False
2019-07-21,67,False
2019-07-28,92,False
2019-08-04,77,False
2019-08-11,71,False
2019-08-18,80,False
2019-08-25,64,False
2019-09-01,77,False
2019-09-08,44,False
2019-09-15,77,False
2019-09-22,67,False
2019-09-29,80,False
2019-10-06,73,False
2019-10-13,71,False
2019-10-20,72,False
2019-10-27,71,False
2019-11-03,70,False
2019-11-10,63,False
2019-11-17,61,False
2019-11-24,62,False
2019-12-01,45,False
2019-12-08,48,False
2019-12-15,49,False
2019-12-22,70,False
2019-12-29,61,False
2020-01-05,64,False
2020-01-12,71,False
2020-01-19,68,False
2020-01-26,77,False
2020-02-02,100,False
2020-02-09,66,False
2020-02-16,79,False
2020-02-23,72,False
2020-03-01,76,False
2020-03-08,74,False
2020-03-15,55,False
2020-03-22,62,False
2020-03-29,75,False
2020-04-05,59,False
2020-04-12,70,False
2020-04-19,63,False
2020-04-26,83,False
2020-05-03,63,False
2020-05-10,63,False
