geoName,geoCode,Waschmaschine reinigen
Baden-Württemberg,DE-BW,64
Bavaria,DE-BY,61
Berlin,DE-BE,100
Brandenburg,DE-BB,73
Bremen,DE-HB,39
Hamburg,DE-HH,83
Hesse,DE-HE,52
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,90
North Rhine-Westphalia,DE-NW,60
Rhineland-Palatinate,DE-RP,66
Saarland,DE-SL,61
Saxony,DE-SN,59
Saxony-Anhalt,DE-ST,74
Schleswig-Holstein,DE-SH,80
Thuringia,DE-TH,74
