date,Guitare
2018-01-07,0.775
2018-01-14,0.695
2018-01-21,0.735
2018-01-28,0.645
2018-02-04,0.685
2018-02-11,0.655
2018-02-18,0.765
2018-02-25,0.585
2018-03-04,0.66
2018-03-11,0.56
2018-03-18,0.62
2018-03-25,0.56
2018-04-01,0.605
2018-04-08,0.58
2018-04-15,0.47
2018-04-22,0.6
2018-04-29,0.665
2018-05-06,0.63
2018-05-13,0.505
2018-05-20,0.485
2018-05-27,0.58
2018-06-03,0.58
2018-06-10,0.525
2018-06-17,0.65
2018-06-24,0.555
2018-07-01,0.485
2018-07-08,0.47
2018-07-15,0.535
2018-07-22,0.565
2018-07-29,0.505
2018-08-05,0.525
2018-08-12,0.47
2018-08-19,0.65
2018-08-26,0.645
2018-09-02,0.635
2018-09-09,0.62
2018-09-16,0.625
2018-09-23,0.625
2018-09-30,0.62
2018-10-07,0.605
2018-10-14,0.595
2018-10-21,0.59
2018-10-28,0.645
2018-11-04,0.555
2018-11-11,0.66
2018-11-18,0.62
2018-11-25,0.665
2018-12-02,0.715
2018-12-09,0.745
2018-12-16,0.755
2018-12-23,0.86
2018-12-30,0.745
2019-01-06,0.69
2019-01-13,0.775
2019-01-20,0.605
2019-01-27,0.74
2019-02-03,0.655
2019-02-10,0.53
2019-02-17,0.605
2019-02-24,0.565
2019-03-03,0.54
2019-03-10,0.57
2019-03-17,0.535
2019-03-24,0.425
2019-03-31,0.585
2019-04-07,0.6
2019-04-14,0.46
2019-04-21,0.605
2019-04-28,0.59
2019-05-05,0.525
2019-05-12,0.665
2019-05-19,0.595
2019-05-26,0.525
2019-06-02,0.45
2019-06-09,0.57
2019-06-16,0.68
2019-06-23,0.545
2019-06-30,0.54
2019-07-07,0.565
2019-07-14,0.54
2019-07-21,0.46
2019-07-28,0.695
2019-08-04,0.63
2019-08-11,0.61
2019-08-18,0.56
2019-08-25,0.525
2019-09-01,0.57
2019-09-08,0.485
2019-09-15,0.655
2019-09-22,0.625
2019-09-29,0.48
2019-10-06,0.575
2019-10-13,0.525
2019-10-20,0.625
2019-10-27,0.64
2019-11-03,0.69
2019-11-10,0.61
2019-11-17,0.66
2019-11-24,0.695
2019-12-01,0.715
2019-12-08,0.72
2019-12-15,0.71
2019-12-22,0.87
2019-12-29,0.66
2020-01-05,0.515
2020-01-12,0.59
2020-01-19,0.63
2020-01-26,0.57
2020-02-02,0.68
2020-02-09,0.565
2020-02-16,0.595
2020-02-23,0.6
2020-03-01,0.475
2020-03-08,0.495
2020-03-15,0.57
2020-03-22,0.74
2020-03-29,0.89
2020-04-05,0.765
2020-04-12,0.835
2020-04-19,1.0
2020-04-26,0.84
2020-05-03,0.765
2020-05-10,0.655
2020-05-17,0.695
