date,Guitare,isPartial
2018-01-07,69,False
2018-01-14,58,False
2018-01-21,49,False
2018-01-28,64,False
2018-02-04,78,False
2018-02-11,63,False
2018-02-18,69,False
2018-02-25,70,False
2018-03-04,79,False
2018-03-11,65,False
2018-03-18,48,False
2018-03-25,71,False
2018-04-01,69,False
2018-04-08,68,False
2018-04-15,58,False
2018-04-22,57,False
2018-04-29,54,False
2018-05-06,60,False
2018-05-13,65,False
2018-05-20,50,False
2018-05-27,55,False
2018-06-03,64,False
2018-06-10,51,False
2018-06-17,59,False
2018-06-24,53,False
2018-07-01,46,False
2018-07-08,53,False
2018-07-15,47,False
2018-07-22,56,False
2018-07-29,60,False
2018-08-05,72,False
2018-08-12,78,False
2018-08-19,57,False
2018-08-26,56,False
2018-09-02,58,False
2018-09-09,68,False
2018-09-16,66,False
2018-09-23,60,False
2018-09-30,73,False
2018-10-07,64,False
2018-10-14,72,False
2018-10-21,69,False
2018-10-28,60,False
2018-11-04,66,False
2018-11-11,68,False
2018-11-18,66,False
2018-11-25,70,False
2018-12-02,80,False
2018-12-09,60,False
2018-12-16,94,False
2018-12-23,86,False
2018-12-30,61,False
2019-01-06,57,False
2019-01-13,62,False
2019-01-20,73,False
2019-01-27,65,False
2019-02-03,56,False
2019-02-10,73,False
2019-02-17,50,False
2019-02-24,65,False
2019-03-03,44,False
2019-03-10,48,False
2019-03-17,59,False
2019-03-24,55,False
2019-03-31,58,False
2019-04-07,71,False
2019-04-14,56,False
2019-04-21,58,False
2019-04-28,58,False
2019-05-05,74,False
2019-05-12,54,False
2019-05-19,57,False
2019-05-26,55,False
2019-06-02,50,False
2019-06-09,52,False
2019-06-16,68,False
2019-06-23,49,False
2019-06-30,55,False
2019-07-07,49,False
2019-07-14,62,False
2019-07-21,48,False
2019-07-28,47,False
2019-08-04,58,False
2019-08-11,54,False
2019-08-18,45,False
2019-08-25,51,False
2019-09-01,61,False
2019-09-08,47,False
2019-09-15,64,False
2019-09-22,80,False
2019-09-29,60,False
2019-10-06,59,False
2019-10-13,54,False
2019-10-20,71,False
2019-10-27,64,False
2019-11-03,59,False
2019-11-10,80,False
2019-11-17,62,False
2019-11-24,73,False
2019-12-01,62,False
2019-12-08,71,False
2019-12-15,88,False
2019-12-22,99,False
2019-12-29,70,False
2020-01-05,65,False
2020-01-12,67,False
2020-01-19,58,False
2020-01-26,57,False
2020-02-02,64,False
2020-02-09,59,False
2020-02-16,59,False
2020-02-23,64,False
2020-03-01,70,False
2020-03-08,57,False
2020-03-15,52,False
2020-03-22,66,False
2020-03-29,100,False
2020-04-05,76,False
2020-04-12,86,False
2020-04-19,87,False
2020-04-26,85,False
2020-05-03,76,False
2020-05-10,82,False
2020-05-17,67,True
