,geoName,Guitare
3,Brittany,72.0
5,Centre-Val de Loire,63.0
7,Corsica,100.0
15,Pays de la Loire,69.0
18,Provence-Alpes-Côte d'Azur,70.0
21,Île-de-France,56.0
22,Grand-est,58.0
23,Hauts-de-france,55.0
24,Normandie,66.5
25,Bourgogne-Franche-Comté,63.5
26,Nouvelle-Aquitaine,66.66666666666667
27,Occitanie,74.5
28,Auvergne-Rhône-Alpes,65.0
