geoName,geoCode,Deejay
Abruzzo,IT-65,50
Aosta,IT-23,50
Apulia,IT-75,58
Basilicata,IT-77,43
Calabria,IT-78,31
Campania,IT-72,25
Emilia-Romagna,IT-45,88
Friuli-Venezia Giulia,IT-36,99
Lazio,IT-62,41
Liguria,IT-42,78
Lombardy,IT-25,97
Marche,IT-57,78
Molise,IT-67,60
Piedmont,IT-21,100
Sardinia,IT-88,45
Sicily,IT-82,27
Trentino-Alto Adige/South Tyrol,IT-32,75
Tuscany,IT-52,74
Umbria,IT-55,49
Veneto,IT-34,86
