geoName,geoCode,deejay
Abruzzo,IT-65,52
Aosta,IT-23,61
Apulia,IT-75,58
Basilicata,IT-77,52
Calabria,IT-78,33
Campania,IT-72,24
Emilia-Romagna,IT-45,90
Friuli-Venezia Giulia,IT-36,86
Lazio,IT-62,43
Liguria,IT-42,74
Lombardy,IT-25,95
Marche,IT-57,72
Molise,IT-67,75
Piedmont,IT-21,100
Sardinia,IT-88,51
Sicily,IT-82,34
Trentino-Alto Adige/South Tyrol,IT-32,79
Tuscany,IT-52,75
Umbria,IT-55,60
Veneto,IT-34,86
