geoName,geoCode,psicoterapia
Andalusia,ES-AN,42
Aragon,ES-AR,100
Asturias,ES-AS,57
Balearic Islands,ES-IB,40
Basque Country,ES-PV,57
Canary Islands,ES-CN,42
Cantabria,ES-CB,34
Castile and León,ES-CL,33
Castile-La Mancha,ES-CM,50
Catalonia,ES-CT,72
Ceuta,ES-CE,0
Community of Madrid,ES-MD,87
Extremadura,ES-EX,45
Galicia,ES-GA,39
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,81
Region of Murcia,ES-MC,35
Valencian Community,ES-VC,47
