geoName,geoCode,Plissee
Burgenland,AT-1,41
Carinthia,AT-2,40
Lower Austria,AT-3,35
Salzburg,AT-5,75
Styria,AT-6,38
Tyrol,AT-7,100
Upper Austria,AT-4,39
Vienna,AT-9,39
Vorarlberg,AT-8,47
