date,torte in pasta di zucchero,isPartial
2018-01-07,68,False
2018-01-14,73,False
2018-01-21,53,False
2018-01-28,33,False
2018-02-04,78,False
2018-02-11,40,False
2018-02-18,90,False
2018-02-25,95,False
2018-03-04,76,False
2018-03-11,78,False
2018-03-18,72,False
2018-03-25,48,False
2018-04-01,64,False
2018-04-08,46,False
2018-04-15,67,False
2018-04-22,70,False
2018-04-29,27,False
2018-05-06,26,False
2018-05-13,99,False
2018-05-20,100,False
2018-05-27,67,False
2018-06-03,27,False
2018-06-10,19,False
2018-06-17,46,False
2018-06-24,27,False
2018-07-01,86,False
2018-07-08,46,False
2018-07-15,67,False
2018-07-22,61,False
2018-07-29,55,False
2018-08-05,28,False
2018-08-12,15,False
2018-08-19,51,False
2018-08-26,27,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,70,False
2018-09-23,85,False
2018-09-30,13,False
2018-10-07,33,False
2018-10-14,81,False
2018-10-21,65,False
2018-10-28,19,False
2018-11-04,64,False
2018-11-11,60,False
2018-11-18,39,False
2018-11-25,40,False
2018-12-02,53,False
2018-12-09,33,False
2018-12-16,42,False
2018-12-23,31,False
2018-12-30,65,False
2019-01-06,53,False
2019-01-13,32,False
2019-01-20,81,False
2019-01-27,24,False
2019-02-03,44,False
2019-02-10,32,False
2019-02-17,65,False
2019-02-24,45,False
2019-03-03,54,False
2019-03-10,52,False
2019-03-17,40,False
2019-03-24,40,False
2019-03-31,53,False
2019-04-07,39,False
2019-04-14,20,False
2019-04-21,14,False
2019-04-28,66,False
2019-05-05,51,False
2019-05-12,76,False
2019-05-19,50,False
2019-05-26,12,False
2019-06-02,32,False
2019-06-09,52,False
2019-06-16,46,False
2019-06-23,27,False
2019-06-30,40,False
2019-07-07,26,False
2019-07-14,47,False
2019-07-21,27,False
2019-07-28,27,False
2019-08-04,21,False
2019-08-11,15,False
2019-08-18,14,False
2019-08-25,19,False
2019-09-01,96,False
2019-09-08,31,False
2019-09-15,24,False
2019-09-22,30,False
2019-09-29,43,False
2019-10-06,43,False
2019-10-13,31,False
2019-10-20,24,False
2019-10-27,30,False
2019-11-03,35,False
2019-11-10,42,False
2019-11-17,18,False
2019-11-24,47,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,35,False
2019-12-29,40,False
2020-01-05,12,False
2020-01-12,57,False
2020-01-19,29,False
2020-01-26,34,False
2020-02-02,51,False
2020-02-09,29,False
2020-02-16,17,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,26,True
