date,apprendre jouer la guitare,isPartial
2018-01-07,43,False
2018-01-14,45,False
2018-01-21,30,False
2018-01-28,49,False
2018-02-04,36,False
2018-02-11,18,False
2018-02-18,38,False
2018-02-25,18,False
2018-03-04,64,False
2018-03-11,43,False
2018-03-18,49,False
2018-03-25,31,False
2018-04-01,28,False
2018-04-08,31,False
2018-04-15,66,False
2018-04-22,32,False
2018-04-29,38,False
2018-05-06,39,False
2018-05-13,28,False
2018-05-20,38,False
2018-05-27,24,False
2018-06-03,18,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,37,False
2018-07-01,27,False
2018-07-08,38,False
2018-07-15,33,False
2018-07-22,50,False
2018-07-29,34,False
2018-08-05,20,False
2018-08-12,35,False
2018-08-19,40,False
2018-08-26,29,False
2018-09-02,51,False
2018-09-09,19,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,66,False
2018-10-14,44,False
2018-10-21,38,False
2018-10-28,38,False
2018-11-04,18,False
2018-11-11,46,False
2018-11-18,27,False
2018-11-25,25,False
2018-12-02,49,False
2018-12-09,19,False
2018-12-16,67,False
2018-12-23,100,False
2018-12-30,74,False
2019-01-06,43,False
2019-01-13,37,False
2019-01-20,30,False
2019-01-27,35,False
2019-02-03,27,False
2019-02-10,47,False
2019-02-17,38,False
2019-02-24,56,False
2019-03-03,60,False
2019-03-10,27,False
2019-03-17,25,False
2019-03-24,48,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,47,False
2019-04-21,28,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,43,False
2019-05-19,36,False
2019-05-26,46,False
2019-06-02,28,False
2019-06-09,53,False
2019-06-16,61,False
2019-06-23,36,False
2019-06-30,53,False
2019-07-07,18,False
2019-07-14,47,False
2019-07-21,45,False
2019-07-28,46,False
2019-08-04,33,False
2019-08-11,39,False
2019-08-18,29,False
2019-08-25,18,False
2019-09-01,26,False
2019-09-08,59,False
2019-09-15,29,False
2019-09-22,34,False
2019-09-29,34,False
2019-10-06,40,False
2019-10-13,17,False
2019-10-20,46,False
2019-10-27,34,False
2019-11-03,41,False
2019-11-10,28,False
2019-11-17,58,False
2019-11-24,22,False
2019-12-01,33,False
2019-12-08,44,False
2019-12-15,61,False
2019-12-22,46,False
2019-12-29,80,False
2020-01-05,64,False
2020-01-12,26,False
2020-01-19,32,False
2020-01-26,21,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,27,False
2020-02-23,23,False
2020-03-01,15,False
2020-03-08,15,False
2020-03-15,58,False
2020-03-22,76,False
2020-03-29,47,False
2020-04-05,71,False
2020-04-12,68,False
2020-04-19,66,False
2020-04-26,81,False
2020-05-03,59,False
2020-05-10,48,False
2020-05-17,27,True
