date,piscine rectangulaire
2018-01-07,0.045
2018-01-14,0.02
2018-01-21,0.12
2018-01-28,0.06
2018-02-04,0.045
2018-02-11,0.04
2018-02-18,0.025
2018-02-25,0.055
2018-03-04,0.02
2018-03-11,0.09
2018-03-18,0.09
2018-03-25,0.295
2018-04-01,0.055
2018-04-08,0.21
2018-04-15,0.06
2018-04-22,0.09
2018-04-29,0.155
2018-05-06,0.19
2018-05-13,0.07
2018-05-20,0.3
2018-05-27,0.1
2018-06-03,0.16
2018-06-10,0.075
2018-06-17,0.345
2018-06-24,0.29
2018-07-01,0.465
2018-07-08,0.28
2018-07-15,0.155
2018-07-22,0.28
2018-07-29,0.17
2018-08-05,0.32
2018-08-12,0.175
2018-08-19,0.08
2018-08-26,0.13
2018-09-02,0.21
2018-09-09,0.155
2018-09-16,0.04
2018-09-23,0.035
2018-09-30,0.05
2018-10-07,0.025
2018-10-14,0.13
2018-10-21,0.105
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.025
2018-11-18,0.1
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.025
2018-12-23,0.025
2018-12-30,0.025
2019-01-06,0.025
2019-01-13,0.1
2019-01-20,0.105
2019-01-27,0.02
2019-02-03,0.105
2019-02-10,0.045
2019-02-17,0.04
2019-02-24,0.195
2019-03-03,0.06
2019-03-10,0.13
2019-03-17,0.06
2019-03-24,0.07
2019-03-31,0.125
2019-04-07,0.055
2019-04-14,0.105
2019-04-21,0.175
2019-04-28,0.12
2019-05-05,0.055
2019-05-12,0.17
2019-05-19,0.13
2019-05-26,0.28
2019-06-02,0.34
2019-06-09,0.195
2019-06-16,0.215
2019-06-23,0.63
2019-06-30,0.415
2019-07-07,0.085
2019-07-14,0.175
2019-07-21,0.175
2019-07-28,0.105
2019-08-04,0.19
2019-08-11,0.11
2019-08-18,0.065
2019-08-25,0.08
2019-09-01,0.04
2019-09-08,0.02
2019-09-15,0.12
2019-09-22,0.02
2019-09-29,0.1
2019-10-06,0.02
2019-10-13,0.045
2019-10-20,0.0
2019-10-27,0.085
2019-11-03,0.03
2019-11-10,0.065
2019-11-17,0.02
2019-11-24,0.04
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,0.02
2019-12-22,0.02
2019-12-29,0.09
2020-01-05,0.065
2020-01-12,0.03
2020-01-19,0.095
2020-01-26,0.105
2020-02-02,0.02
2020-02-09,0.105
2020-02-16,0.055
2020-02-23,0.03
2020-03-01,0.05
2020-03-08,0.155
2020-03-15,0.04
2020-03-22,0.04
2020-03-29,0.1
2020-04-05,0.325
2020-04-12,0.285
2020-04-19,0.315
2020-04-26,0.27
2020-05-03,0.47
2020-05-10,0.345
2020-05-17,1.0
