geoName,geoCode,Gartenteich
Burgenland,AT-1,100
Carinthia,AT-2,60
Lower Austria,AT-3,58
Salzburg,AT-5,15
Styria,AT-6,34
Tyrol,AT-7,17
Upper Austria,AT-4,32
Vienna,AT-9,25
Vorarlberg,AT-8,30
