,geoName,climatiseur appartement
3,Brittany,0.0
5,Centre-Val de Loire,80.0
7,Corsica,0.0
15,Pays de la Loire,51.0
18,Provence-Alpes-Côte d'Azur,36.0
21,Île-de-France,100.0
22,Grand-est,29.666666666666668
23,Hauts-de-france,22.5
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,15.666666666666666
27,Occitanie,0.0
28,Auvergne-Rhône-Alpes,28.5
