geoName,geoCode,taglio capelli donna
Abruzzo,IT-65,73
Aosta,IT-23,0
Apulia,IT-75,38
Basilicata,IT-77,0
Calabria,IT-78,100
Campania,IT-72,45
Emilia-Romagna,IT-45,61
Friuli-Venezia Giulia,IT-36,96
Lazio,IT-62,86
Liguria,IT-42,90
Lombardy,IT-25,66
Marche,IT-57,57
Molise,IT-67,0
Piedmont,IT-21,77
Sardinia,IT-88,29
Sicily,IT-82,80
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,79
Umbria,IT-55,81
Veneto,IT-34,78
