geoName,geoCode,Personal Training
Baden-Württemberg,DE-BW,84
Bavaria,DE-BY,75
Berlin,DE-BE,62
Brandenburg,DE-BB,66
Bremen,DE-HB,0
Hamburg,DE-HH,77
Hesse,DE-HE,84
Lower Saxony,DE-NI,61
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,96
Rhineland-Palatinate,DE-RP,75
Saarland,DE-SL,60
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,83
Thuringia,DE-TH,59
