geoName,geoCode,festival
Abruzzo,IT-65,52
Aosta,IT-23,90
Apulia,IT-75,50
Basilicata,IT-77,40
Calabria,IT-78,43
Campania,IT-72,47
Emilia-Romagna,IT-45,61
Friuli-Venezia Giulia,IT-36,56
Lazio,IT-62,52
Liguria,IT-42,100
Lombardy,IT-25,58
Marche,IT-57,58
Molise,IT-67,63
Piedmont,IT-21,73
Sardinia,IT-88,46
Sicily,IT-82,42
Trentino-Alto Adige/South Tyrol,IT-32,62
Tuscany,IT-52,72
Umbria,IT-55,64
Veneto,IT-34,53
